# timestamp tx ty tz qx qy qz qw
1.546321729832999e+09 -1.6478505e-02 -1.9355677e-02 2.1717805e-02 1.1202018e-02 -7.16917e-04 6.69696e-04 9.99936759e-01
1.546321730032545e+09 -3.5605703e-02 -3.6640488e-02 4.0649492e-02 1.3376216e-02 4.659588e-03 -3.560476e-03 9.99893367e-01
1.546321730132754e+09 -3.9752439e-02 -4.0725838e-02 4.9875394e-02 1.1318459e-02 3.14977e-03 -3.162894e-03 9.99926031e-01
1.546321730332282e+09 -4.9409635e-02 -4.7866449e-02 5.9636466e-02 3.347909e-03 2.075752e-03 -2.279457e-03 9.99989688e-01
1.546321730432959e+09 -6.7221463e-02 -5.6213066e-02 7.5307146e-02 -3.193128e-03 5.949441e-03 -1.906548e-03 9.99975383e-01
1.546321730632249e+09 -6.5375514e-02 -5.7296272e-02 7.5018018e-02 -1.1521142e-02 7.356333e-03 -5.01047e-03 9.99894023e-01
1.546321730732764e+09 -7.6596871e-02 -6.2887713e-02 8.4200293e-02 -2.1530883e-02 1.7111687e-02 -1.3823137e-02 9.99526203e-01
1.546321730933299e+09 -8.1983343e-02 -6.7815833e-02 8.9364082e-02 -2.2232415e-02 1.7703226e-02 -1.3683104e-02 9.9950242e-01
1.546321731132734e+09 -8.9458287e-02 -7.3321924e-02 9.4475515e-02 -1.999294e-02 1.8976377e-02 -1.4336288e-02 9.99517262e-01
1.546321731233273e+09 -1.02732606e-01 -8.556249e-02 1.03226945e-01 -1.3351141e-02 1.8029952e-02 -1.3096426e-02 9.99662519e-01
1.546321731432396e+09 -1.13106139e-01 -9.1973454e-02 1.08580381e-01 -1.0078573e-02 1.7267553e-02 -8.948545e-03 9.99760151e-01
1.546321731632677e+09 -1.2826252e-01 -1.04971722e-01 1.18068807e-01 -3.964337e-03 2.9734105e-02 1.5311118e-02 9.99432743e-01
1.546321731733114e+09 -1.41237631e-01 -1.16721146e-01 1.27320647e-01 2.86633e-04 4.969259e-02 5.1787473e-02 9.97420967e-01
1.546321731932939e+09 -1.42737389e-01 -1.22794241e-01 1.26940101e-01 -1.55183e-04 5.7927847e-02 6.085977e-02 9.96463954e-01
1.546321732132689e+09 -1.5371044e-01 -1.30170256e-01 1.32664904e-01 -2.128402e-03 6.7014553e-02 5.8158856e-02 9.96053278e-01
1.546321732232799e+09 -1.58486813e-01 -1.34220704e-01 1.33834362e-01 -3.400772e-03 7.053005e-02 5.4831289e-02 9.9599576e-01
1.546321732432335e+09 -1.70782119e-01 -1.40192032e-01 1.37859583e-01 -2.936412e-03 7.5750895e-02 5.1649839e-02 9.95783865e-01
1.546321732632371e+09 -1.81498066e-01 -1.43969864e-01 1.40987843e-01 1.23835e-03 7.9490729e-02 4.910434e-02 9.95624661e-01
1.546321732832952e+09 -1.87629834e-01 -1.45684615e-01 1.4208366e-01 4.229146e-03 8.3364837e-02 4.5624699e-02 9.954651e-01
1.546321733032265e+09 -1.94794506e-01 -1.46546438e-01 1.41957939e-01 7.668647e-03 8.5311301e-02 4.3744128e-02 9.9536407e-01
