# timestamp tx ty tz qx qy qz qw
1.546320758532884e+09 -3.4264602e-02 1.4495028e-02 -4.0868819e-02 -4.3689724e-02 1.3600362e-02 -1.2682676e-02 9.98872101e-01
1.546320758732426e+09 -4.5961209e-02 1.4532243e-02 -5.090607e-02 -4.9719218e-02 1.7256621e-02 -1.2015165e-02 9.98541892e-01
1.546320758832477e+09 -4.6271194e-02 1.2596621e-02 -5.1347695e-02 -5.2916158e-02 1.6738744e-02 -1.1674734e-02 9.98390436e-01
1.546320758932645e+09 -4.5642436e-02 2.255996e-03 -3.8420696e-02 -3.3727814e-02 1.8005908e-02 -1.3608611e-02 9.99176204e-01
1.546320759032922e+09 -5.9244424e-02 -1.8800139e-02 -3.7684847e-02 -4.973304e-03 2.3877205e-02 -1.5159989e-02 9.99587595e-01
1.546320759232965e+09 -5.8226399e-02 -2.2536956e-02 -2.7331723e-02 4.738268e-03 2.1481307e-02 -1.606928e-02 9.99628901e-01
1.546320759433361e+09 -6.3574538e-02 -4.4834964e-02 -2.2258986e-02 2.538358e-03 1.6373409e-02 -1.2212247e-02 9.99788165e-01
1.546320759632751e+09 -7.3644817e-02 -3.8778447e-02 -1.9108932e-02 1.1389483e-02 1.3690152e-02 -8.706523e-03 9.99803543e-01
1.546320759832715e+09 -7.5557001e-02 -3.9848816e-02 -1.8112427e-02 1.4195612e-02 1.1066196e-02 -6.395156e-03 9.9981755e-01
1.546320759932987e+09 -7.5607426e-02 -3.9019965e-02 -1.9109318e-02 1.0177537e-02 9.814632e-03 -5.829023e-03 9.99883115e-01
1.546320760133032e+09 -7.5568028e-02 -3.9050486e-02 -2.2234458e-02 1.636696e-03 1.2372469e-02 -7.502365e-03 9.99894023e-01
1.546320760332714e+09 -7.0039429e-02 -3.6458973e-02 -3.0223086e-02 -1.6166318e-02 1.9134212e-02 -1.4898811e-02 9.99575198e-01
1.546320760432857e+09 -6.545189e-02 -3.443696e-02 -3.4713425e-02 -1.8268511e-02 2.9716667e-02 -2.8504197e-02 9.98984873e-01
1.546320760632973e+09 -6.6001378e-02 -4.0296737e-02 -3.8601428e-02 -1.2696852e-02 3.3187494e-02 -3.3416886e-02 9.98809636e-01
1.546320760832835e+09 -6.7327335e-02 -4.2046722e-02 -4.0041666e-02 -1.1949882e-02 3.2891832e-02 -3.2863386e-02 9.98847008e-01
1.54632076103241e+09 -7.2730005e-02 -4.2201012e-02 -3.9977152e-02 -9.479345e-03 3.3426963e-02 -3.1759791e-02 9.98891473e-01
1.546320761132665e+09 -7.6133765e-02 -4.1422777e-02 -4.1354481e-02 -1.0276592e-02 3.3868819e-02 -3.2006934e-02 9.98860776e-01
1.546320761332716e+09 -8.7255239e-02 -4.3872651e-02 -4.3103028e-02 -1.1797598e-02 3.7846278e-02 -3.5129134e-02 9.98596251e-01
1.546320761433029e+09 -1.0010165e-01 -4.6259411e-02 -4.3775808e-02 -1.1739888e-02 4.1345321e-02 -3.7067577e-02 9.98388052e-01
1.546320761632532e+09 -1.17572889e-01 -4.7354173e-02 -4.3572094e-02 -7.105026e-03 4.2048153e-02 -3.6719792e-02 9.98415351e-01
1.546320761733128e+09 -1.27028465e-01 -4.7129512e-02 -4.2496175e-02 -4.747819e-03 3.9860461e-02 -3.4587748e-02 9.98595238e-01
1.546320761932946e+09 -1.40722334e-01 -4.8486773e-02 -4.1902214e-02 -3.181395e-03 3.8877144e-02 -3.237975e-02 9.98714149e-01
1.546320762132859e+09 -1.6501455e-01 -4.652122e-02 -3.9355963e-02 -3.131779e-03 3.7641097e-02 -2.7594641e-02 9.98905361e-01
1.546320762332789e+09 -1.79168999e-01 -4.6340305e-02 -4.0855318e-02 -4.233635e-03 3.7381779e-02 -2.5879888e-02 9.98956919e-01
1.54632076253237e+09 -2.05814481e-01 -4.3052681e-02 -3.7753373e-02 -5.008989e-03 3.9543282e-02 -2.7049251e-02 9.9883914e-01
1.546320762632688e+09 -2.19730556e-01 -4.1014779e-02 -3.8185239e-02 -5.529863e-03 3.8914826e-02 -2.582342e-02 9.98893499e-01
1.546320762832553e+09 -2.33456314e-01 -3.8439501e-02 -3.6440406e-02 -4.355797e-03 3.8187783e-02 -2.4219885e-02 9.98967588e-01
1.546320763032558e+09 -2.63758212e-01 -3.7397567e-02 -3.6574632e-02 -2.874475e-03 4.0699001e-02 -2.5628271e-02 9.98838603e-01
1.546320763132838e+09 -2.78036654e-01 -3.6232058e-02 -3.5805363e-02 -6.35512e-04 3.9721288e-02 -2.5154518e-02 9.98893976e-01
1.546320763333246e+09 -3.11171263e-01 -3.4113105e-02 -3.7242383e-02 1.522057e-03 3.7653316e-02 -2.9697618e-02 9.98848319e-01
1.546320763532611e+09 -3.26284617e-01 -3.0494098e-02 -3.5381179e-02 2.506588e-03 3.5954222e-02 -3.3597652e-02 9.98785377e-01
1.546320763632669e+09 -3.54766041e-01 -2.4069095e-02 -3.3892654e-02 6.515e-06 3.7043631e-02 -3.9956301e-02 9.98514593e-01
1.546320763832707e+09 -3.89263272e-01 -1.845888e-02 -4.0223755e-02 -7.773382e-03 4.2180803e-02 -4.5025907e-02 9.98064637e-01
1.546320764033011e+09 -4.04940337e-01 -1.6891021e-02 -4.0551398e-02 -6.228101e-03 4.3779772e-02 -4.6841349e-02 9.97923076e-01
1.546320764232927e+09 -4.38736171e-01 -1.3630117e-02 -3.8588207e-02 5.26701e-04 4.1753497e-02 -4.5158792e-02 9.98106778e-01
1.546320764433022e+09 -4.86048102e-01 -1.0209531e-02 -4.0614426e-02 2.486701e-03 3.6030453e-02 -3.655168e-02 9.98678923e-01
1.54632076463279e+09 -5.30144811e-01 -9.470327e-03 -4.9315464e-02 -3.803354e-03 2.1341326e-02 -4.8088439e-02 9.98607814e-01
1.546320764732817e+09 -5.48951209e-01 -2.76466e-03 -4.2663846e-02 -6.492191e-03 1.0735078e-02 -5.910993e-02 9.981727e-01
1.546320764832891e+09 -5.7274425e-01 -4.00955e-04 -4.4837926e-02 -7.905033e-03 2.773183e-03 -7.1703367e-02 9.97390866e-01
1.546320765032645e+09 -6.14582956e-01 -1.298499e-03 -5.1997874e-02 -5.553433e-03 -1.7797481e-02 -8.6073361e-02 9.96114433e-01
1.546320765132709e+09 -6.57723725e-01 -6.45294e-04 -6.1637066e-02 -5.7441e-05 -2.8922584e-02 -9.9809192e-02 9.94586229e-01
1.546320765232872e+09 -7.01286137e-01 8.156424e-03 -5.9597947e-02 -8.37009e-04 -3.4775782e-02 -1.16150744e-01 9.92622256e-01
1.546320765333033e+09 -7.39061475e-01 1.5207933e-02 -6.9821447e-02 -1.1799362e-02 -4.7405005e-02 -1.19733758e-01 9.91603494e-01
1.546320765532626e+09 -7.58803964e-01 2.4082419e-02 -6.1009459e-02 -1.338755e-02 -5.1226452e-02 -1.25364572e-01 9.90696907e-01
1.546320765632972e+09 -7.95836806e-01 2.3180034e-02 -7.3001005e-02 -1.5289292e-02 -6.071645e-02 -1.37980372e-01 9.88453925e-01
1.546320765733118e+09 -8.11310053e-01 3.0602198e-02 -6.4273082e-02 -1.180257e-02 -6.2189829e-02 -1.43284664e-01 9.87655103e-01
1.546320765932984e+09 -8.3909899e-01 3.2437325e-02 -6.6170149e-02 -1.1767805e-02 -6.5351918e-02 -1.56282648e-01 9.85477746e-01
1.546320766132554e+09 -8.5155189e-01 3.476591e-02 -6.4299114e-02 -9.408454e-03 -6.8089262e-02 -1.63278237e-01 9.84182715e-01
1.546320766333032e+09 -8.70312572e-01 3.7179612e-02 -6.1535764e-02 -7.873456e-03 -7.6433972e-02 -1.74450234e-01 9.81663406e-01
1.546320766532591e+09 -8.8241446e-01 3.4758285e-02 -6.5185659e-02 -9.227211e-03 -8.1652991e-02 -1.79282457e-01 9.80359852e-01
