# timestamp tx ty tz qx qy qz qw
1.546320758532884e+09 0.e+00 0.e+00 0.e+00 -0.e+00 -0.e+00 -0.e+00 1.e+00
1.546320758732426e+09 2.0354778e-02 2.2451181e-02 -4.8938882e-02 -4.679884e-03 -4.814985e-03 1.3498571e-02 9.99886394e-01
1.546320758832477e+09 2.6442617e-02 2.9049451e-02 -6.3003659e-02 -7.334528e-03 -7.723265e-03 2.1690011e-02 9.99708056e-01
1.546320758932645e+09 2.5408689e-02 2.7984774e-02 -6.0566381e-02 -1.0181882e-02 -1.0639948e-02 3.0251998e-02 9.99433815e-01
1.546320759032922e+09 2.8668521e-02 3.1175319e-02 -6.7064852e-02 -1.2508431e-02 -1.2631623e-02 3.7260272e-02 9.99147475e-01
1.546320759232965e+09 4.0230297e-02 4.5231599e-02 -9.5110044e-02 -1.6947191e-02 -1.648899e-02 5.1547069e-02 9.98390615e-01
1.546320759433361e+09 4.9219627e-02 5.368444e-02 -1.13636442e-01 -2.1865923e-02 -2.1282557e-02 6.7714453e-02 9.9723804e-01
1.546320759632751e+09 1.46714747e-01 1.80600464e-01 -3.73181641e-01 -2.7250366e-02 -2.3796571e-02 8.1385776e-02 9.9602586e-01
1.546320759832715e+09 1.87412769e-01 2.27000877e-01 -4.68082935e-01 -3.3733897e-02 -2.7167344e-02 9.4299905e-02 9.9460119e-01
1.546320759932987e+09 1.88083023e-01 2.23258123e-01 -4.60929543e-01 -3.6201082e-02 -2.9283531e-02 1.0117688e-01 9.93778288e-01
1.546320760133032e+09 1.85195297e-01 2.19362766e-01 -4.53436524e-01 -4.0047448e-02 -3.3811007e-02 1.15914069e-01 9.91875529e-01
1.546320760332714e+09 1.85632169e-01 2.26247057e-01 -4.59376663e-01 -4.3641321e-02 -3.8950354e-02 1.31631032e-01 9.89571452e-01
1.546320760432857e+09 1.82318956e-01 2.16165155e-01 -4.47811902e-01 -4.6280432e-02 -4.1945301e-02 1.40919134e-01 9.88048851e-01
1.546320760632973e+09 1.6140078e-01 1.77577183e-01 -3.7934655e-01 -4.7744133e-02 -4.3390907e-02 1.48576126e-01 9.86794233e-01
1.546320760832835e+09 1.32319391e-01 1.35860339e-01 -2.97624707e-01 -4.8490398e-02 -4.4882767e-02 1.56225145e-01 9.85508978e-01
1.54632076103241e+09 1.03565343e-01 9.3529478e-02 -2.14209244e-01 -4.9048852e-02 -4.632698e-02 1.63836643e-01 9.84177649e-01
1.546320761132665e+09 1.6645525e-02 -6.5372586e-02 4.2185873e-02 -5.0182112e-02 -4.7613941e-02 1.68343365e-01 9.83298123e-01
1.546320761332716e+09 6.970239e-03 -2.75880069e-01 1.46103561e-01 -5.4184619e-02 -5.1159218e-02 1.77904472e-01 9.81222093e-01
1.546320761433029e+09 -1.31857753e-01 -4.94160652e-01 5.62707841e-01 -5.4622784e-02 -5.1907972e-02 1.80388689e-01 9.80704844e-01
1.546320761632532e+09 -1.15387909e-01 -7.05430269e-01 6.22666776e-01 -5.8057014e-02 -5.4349724e-02 1.86267719e-01 9.79275167e-01
1.546320761733128e+09 -1.71585739e-01 -8.90352905e-01 8.57538342e-01 -5.8516871e-02 -5.5050418e-02 1.87479854e-01 9.78977323e-01
1.546320761932946e+09 -3.22201222e-01 -1.293560266e+00 1.389403224e+00 -5.8451682e-02 -5.5089377e-02 1.88082963e-01 9.78863358e-01
1.546320762132859e+09 -5.46021819e-01 -1.78665781e+00 2.13472271e+00 -5.7955198e-02 -5.4984007e-02 1.88532799e-01 9.78812218e-01
1.546320762332789e+09 -8.11211348e-01 -2.328144789e+00 3.014354467e+00 -5.6968633e-02 -5.407536e-02 1.87895596e-01 9.79043245e-01
1.54632076253237e+09 -1.08705461e+00 -2.863584518e+00 3.899732351e+00 -5.8903061e-02 -5.5901896e-02 1.95837066e-01 9.77268279e-01
1.546320762632688e+09 -1.242506981e+00 -3.147936821e+00 4.390911102e+00 -6.101051e-02 -5.8150478e-02 2.03507915e-01 9.75438774e-01
1.546320762832553e+09 -1.492763519e+00 -3.575077534e+00 5.114383221e+00 -6.5328032e-02 -6.2305976e-02 2.1757026e-01 9.71860826e-01
1.546320763032558e+09 -1.722682714e+00 -3.933923721e+00 5.711784363e+00 -6.9602609e-02 -6.587857e-02 2.27672875e-01 9.69010115e-01
1.546320763132838e+09 -1.795859575e+00 -4.071508884e+00 5.932578564e+00 -7.0637278e-02 -6.6397928e-02 2.29105487e-01 9.68562007e-01
1.546320763333246e+09 -1.966253638e+00 -4.324881077e+00 6.368487358e+00 -7.0888326e-02 -6.6147462e-02 2.28677422e-01 9.68662024e-01
